id,name,is_animation_studio,site_url,favorites
929,Animation Do,True,https://anilist.co/studio/929,115
687,Bandai Namco Live Creative,False,https://anilist.co/studio/687,3
689,NTT Docomo,False,https://anilist.co/studio/689,3
6164,Studio VOLN,False,https://anilist.co/studio/6164,35
6175,DR Movie,False,https://anilist.co/studio/6175,8
852,Nexus,True,https://anilist.co/studio/852,119
779,AMG MUSIC,False,https://anilist.co/studio/779,0
621,SoftBank Creative Corp.,False,https://anilist.co/studio/621,3
6612,FuRyu,False,https://anilist.co/studio/6612,1
7237,GREE Entertainment,False,https://anilist.co/studio/7237,2
6674,GREE,False,https://anilist.co/studio/6674,2
703,Notes,False,https://anilist.co/studio/703,28
635,CREi,False,https://anilist.co/studio/635,1
7217,DELiGHTWORKS,False,https://anilist.co/studio/7217,1
6068,TROYCA,True,https://anilist.co/studio/6068,160
715,Dwango,False,https://anilist.co/studio/715,1
701,Seikaisha,False,https://anilist.co/studio/701,2
725,IYUNO STUDIOS,False,https://anilist.co/studio/725,1
7084,Geneon Entertainment,False,https://anilist.co/studio/7084,1
171,A Line,True,https://anilist.co/studio/171,2
313,Omnibus Japan,False,https://anilist.co/studio/313,0
294,Discovery,False,https://anilist.co/studio/294,10
6419,Pili International Multimedia,True,https://anilist.co/studio/6419,9
6815,DMM.com,False,https://anilist.co/studio/6815,1
6844,Green Ooita,True,https://anilist.co/studio/6844,0
262,Kadokawa Pictures USA,False,https://anilist.co/studio/262,9
787,Happinet Pictures,False,https://anilist.co/studio/787,3
6142,Geno Studio,True,https://anilist.co/studio/6142,98
6424,Sammy,False,https://anilist.co/studio/6424,3
7160,Happinet Phantom Studios,False,https://anilist.co/studio/7160,0
6782,My Theater D.D.,False,https://anilist.co/studio/6782,0
6785,Mirai Koujou,False,https://anilist.co/studio/6785,0
346,Hoods Entertainment,True,https://anilist.co/studio/346,56
6680,marone,False,https://anilist.co/studio/6680,2
6135,Sound Drive,False,https://anilist.co/studio/6135,7
6824,OOZ Inc.,False,https://anilist.co/studio/6824,0
114,Studio Matrix,True,https://anilist.co/studio/114,2
6126,Felix Film,True,https://anilist.co/studio/6126,18
