media_id,genre_id
115740,Adventure
115740,Fantasy
115740,Slice of Life
101793,Adventure
101793,Fantasy
101793,Slice of Life
101794,Adventure
101794,Fantasy
101794,Slice of Life
135102,Adventure
135102,Fantasy
135102,Slice of Life
158983,Comedy
158983,Fantasy
127213,Comedy
143391,Slice of Life
107201,Comedy
107201,Mystery
107201,Romance
107201,Supernatural
126529,Comedy
126529,Mystery
126529,Romance
126529,Supernatural
152005,Comedy
113828,Comedy
86199,Comedy
86199,Horror
86199,Mystery
86199,Romance
86199,Supernatural
122238,Fantasy
122238,Supernatural
108450,Action
108450,Adventure
108450,Fantasy
97675,Action
97675,Adventure
97675,Fantasy
112931,Adventure
112931,Fantasy
111501,Drama
111501,Slice of Life
116328,Comedy
99757,Drama
99757,Slice of Life
10800,Drama
10800,Romance
10800,Slice of Life
10800,Sports
43245,Drama
43245,Romance
43245,Sports
86700,Drama
86700,Romance
86700,Sports
108635,Drama
108635,Slice of Life
108635,Sports
14397,Drama
14397,Romance
14397,Slice of Life
14397,Sports
18745,Comedy
18745,Slice of Life
101215,Drama
101215,Romance
101215,Slice of Life
101215,Sports
16498,Action
16498,Drama
16498,Fantasy
16498,Mystery
21281,Comedy
21281,Fantasy
21281,Slice of Life
66535,Comedy
106489,Comedy
53390,Action
53390,Drama
53390,Fantasy
53390,Mystery
93313,Action
93313,Drama
93313,Fantasy
93313,Horror
93313,Supernatural
95409,Action
95409,Drama
95409,Fantasy
95409,Horror
95409,Supernatural
99634,Action
99634,Drama
99634,Fantasy
99634,Mystery
99147,Action
99147,Drama
99147,Fantasy
99147,Mystery
104578,Action
104578,Drama
104578,Fantasy
104578,Mystery
120257,Comedy
120257,Fantasy
108942,Comedy
108942,Fantasy
110277,Action
110277,Drama
110277,Fantasy
110277,Mystery
131681,Action
131681,Drama
131681,Fantasy
131681,Mystery
131681,Psychological
146984,Action
146984,Drama
146984,Fantasy
146984,Mystery
146984,Psychological
162314,Action
162314,Drama
162314,Fantasy
162314,Psychological
162314,Romance
162314,Supernatural
139754,Comedy
139754,Fantasy
119113,Action
119113,Drama
119113,Fantasy
119113,Mystery
20958,Action
20958,Drama
20958,Fantasy
20958,Mystery
110640,Action
110640,Adventure
110640,Fantasy
100465,Action
100465,Drama
100465,Fantasy
